QUBITS: 20
0.0718264
 		DESV %: 0.293382
0.0749479
 		DESV %: 0.183763
0.0822097
 		DESV %: 0.036574
0.0929182
 		DESV %: 0.14424
0.105756
 		DESV %: 0.0159109
0.124195
 		DESV %: 0.181356
0.144017
 		DESV %: 0.121904
0.164019
 		DESV %: 0.482421
0.182982
 		DESV %: 0.341501
0.201666
 		DESV %: 0.209673
0.220772
 		DESV %: 0.459532
0.238748
 		DESV %: 0.394621
0.260181
 		DESV %: 0.823802
0.285232
 		DESV %: 0.533019
0.305541
 		DESV %: 0.319385
0.330267
 		DESV %: 0.226831
0.361643
 		DESV %: 0.169749
0.404654
 		DESV %: 0.17485
0.473502
 		DESV %: 0.238052
0.581142
 		DESV %: 0.582988
QUBITS: 21
0.144212
 		DESV %: 0.306871
0.150241
 		DESV %: 0.0289512
0.165144
 		DESV %: 0.0519615
0.18656
 		DESV %: 0.0470243
0.212758
 		DESV %: 0.129144
0.249152
 		DESV %: 0.105461
0.289308
 		DESV %: 0.223336
0.327797
 		DESV %: 0.399645
0.36715
 		DESV %: 0.388166
0.403761
 		DESV %: 0.243954
0.440116
 		DESV %: 0.44066
0.477598
 		DESV %: 0.332786
0.51896
 		DESV %: 0.298165
0.562867
 		DESV %: 0.110129
0.602513
 		DESV %: 0.114133
0.653461
 		DESV %: 0.708088
0.704435
 		DESV %: 0.317803
0.773406
 		DESV %: 1.04816
0.866056
 		DESV %: 0.585717
1.01471
 		DESV %: 0.265383
1.23936
 		DESV %: 0.310201
QUBITS: 22
0.288341
 		DESV %: 0.0509081
0.300814
 		DESV %: 0.0458962
0.330444
 		DESV %: 0.0439079
0.373374
 		DESV %: 0.0285452
0.425245
 		DESV %: 0.0481554
0.498673
 		DESV %: 0.156223
0.57914
 		DESV %: 0.125905
0.654629
 		DESV %: 0.214325
0.731149
 		DESV %: 0.17383
0.807088
 		DESV %: 0.268729
0.880595
 		DESV %: 0.281277
0.960455
 		DESV %: 0.858758
1.03161
 		DESV %: 0.252688
1.11519
 		DESV %: 0.214605
1.19408
 		DESV %: 0.0915585
1.29188
 		DESV %: 0.220223
1.38576
 		DESV %: 0.132682
1.49596
 		DESV %: 0.119362
1.64205
 		DESV %: 0.127623
1.84526
 		DESV %: 0.137908
2.1277
 		DESV %: 0.215021
2.61853
 		DESV %: 0.628026
QUBITS: 23
0.577258
 		DESV %: 0.321543
0.601568
 		DESV %: 0.0362927
0.660718
 		DESV %: 0.0332985
0.74685
 		DESV %: 0.103748
0.851237
 		DESV %: 0.0545873
0.997658
 		DESV %: 0.105766
1.15821
 		DESV %: 0.161118
1.31083
 		DESV %: 0.248543
1.46403
 		DESV %: 0.19297
1.61048
 		DESV %: 0.191479
1.76291
 		DESV %: 0.468686
1.9096
 		DESV %: 0.3078
2.06641
 		DESV %: 0.526985
2.21862
 		DESV %: 0.196468
2.3733
 		DESV %: 0.125164
2.5571
 		DESV %: 0.146724
2.74032
 		DESV %: 0.108636
2.94502
 		DESV %: 0.0975191
3.18574
 		DESV %: 0.143644
3.52135
 		DESV %: 0.229837
3.97917
 		DESV %: 1.14747
4.65714
 		DESV %: 0.298617
5.63473
 		DESV %: 0.33402
QUBITS: 24
1.15245
 		DESV %: 0.0247689
1.20248
 		DESV %: 0.0166305
1.3209
 		DESV %: 0.0146791
1.4926
 		DESV %: 0.0191173
1.70201
 		DESV %: 0.0486426
1.99484
 		DESV %: 0.118284
2.31589
 		DESV %: 0.0613575
2.62257
 		DESV %: 0.143601
2.92254
 		DESV %: 0.268049
3.221
 		DESV %: 0.203177
3.51895
 		DESV %: 0.389705
3.81401
 		DESV %: 0.256402
4.11116
 		DESV %: 0.217098
4.40997
 		DESV %: 0.145236
4.74389
 		DESV %: 0.209152
5.09378
 		DESV %: 0.117872
5.47778
 		DESV %: 0.410364
5.84116
 		DESV %: 0.158445
6.27315
 		DESV %: 0.503457
6.83403
 		DESV %: 0.187275
7.57663
 		DESV %: 0.247445
8.69478
 		DESV %: 0.2756
9.99454
 		DESV %: 0.716543
11.7883
 		DESV %: 0.496815
QUBITS: 25
2.3081
 		DESV %: 0.410137
2.40586
 		DESV %: 0.0432069
2.64167
 		DESV %: 0.0198669
2.98495
 		DESV %: 0.00699007
3.39961
 		DESV %: 0.0137518
